Date,Time,Location,Ride Request,Available Vehicles,Completed Rides,Cancelled Rides,Average Wait Time,Surge Multiplier
2026-01-01,18:00,T Nagar,270,168,240,30,6.1,1.3
2026-01-01,18:00,Anna Nagar,242,124,192,50,7.1,1.3
2026-01-01,18:00,Adyar,171,104,137,34,5.1,1.3
2026-01-01,18:00,Velachery,190,136,153,37,6.9,1.3
2026-01-01,18:00,Guindy,174,139,148,26,5.1,1.1
2026-01-01,18:00,OMR,223,77,190,33,8.0,1.5
2026-01-01,18:00,Tambaram,175,93,142,33,5.9,1.5
2026-01-01,18:00,Porur,181,120,149,32,4.6,1.5
2026-01-01,18:00,Egmore,187,136,151,36,6.6,1.1
2026-01-01,20:00,Chennai Central,278,115,222,56,9.8,1.8
2026-01-01,20:00,T Nagar,233,97,212,21,8.2,1.8
2026-01-01,20:00,Anna Nagar,149,129,137,12,3.6,1.2
2026-01-01,20:00,Adyar,205,76,187,18,7.5,2.0
2026-01-01,20:00,Velachery,198,169,174,24,5.7,1.3
2026-01-01,20:00,Guindy,296,106,257,39,9.0,1.5
2026-01-01,20:00,OMR,282,86,255,27,9.1,1.8
2026-01-01,20:00,Tambaram,197,122,161,36,6.6,1.3
2026-01-01,20:00,Porur,196,97,158,38,6.3,1.5
2026-01-01,20:00,Egmore,239,105,220,19,7.1,1.8
2026-01-02,06:00,Chennai Central,158,158,124,34,4.0,1.0
2026-01-02,06:00,T Nagar,210,113,195,15,7.9,1.6
2026-01-02,06:00,Anna Nagar,121,180,106,15,3.6,1.0
2026-01-02,06:00,Adyar,103,121,87,16,3.0,1.0
2026-01-02,06:00,Velachery,103,138,92,11,6.4,1.0
2026-01-02,06:00,Guindy,138,150,117,21,6.3,1.0
2026-01-02,06:00,OMR,191,168,169,22,6.0,1.1
2026-01-02,06:00,Tambaram,128,157,113,15,4.1,1.0
2026-01-02,06:00,Porur,86,167,74,12,5.3,1.0
2026-01-02,06:00,Egmore,161,80,134,27,7.5,1.8
2026-01-02,08:00,Chennai Central,244,75,206,38,10.6,1.5
2026-01-02,08:00,T Nagar,303,142,258,45,7.9,2.0
2026-01-02,08:00,Anna Nagar,246,147,220,26,7.0,1.3
2026-01-02,08:00,Adyar,167,124,130,37,6.9,1.3
2026-01-02,08:00,Velachery,202,95,184,18,7.4,2.0
2026-01-02,08:00,Guindy,248,86,213,35,7.8,2.0
2026-01-02,08:00,OMR,193,119,150,43,8.3,1.3
2026-01-02,08:00,Tambaram,214,151,202,12,7.3,1.3
2026-01-02,08:00,Porur,162,88,152,10,8.0,1.3
2026-01-02,08:00,Egmore,270,130,249,21,7.9,1.8
2026-01-02,10:00,Chennai Central,176,179,148,28,4.4,1.1
2026-01-02,10:00,T Nagar,117,141,102,15,5.7,1.0
2026-01-02,10:00,Anna Nagar,152,165,120,32,4.8,1.1
2026-01-02,10:00,Adyar,121,98,94,27,3.8,1.3
2026-01-02,10:00,Velachery,147,104,122,25,6.7,1.3
2026-01-02,10:00,Guindy,169,189,149,20,4.9,1.0
2026-01-02,10:00,OMR,136,122,112,24,4.8,1.2
2026-01-02,10:00,Tambaram,72,107,68,4,3.1,1.0
2026-01-02,10:00,Porur,168,177,151,17,5.4,1.1
2026-01-02,10:00,Egmore,123,126,98,25,5.5,1.0
2026-01-02,12:00,Chennai Central,104,81,82,22,4.0,1.2
2026-01-02,12:00,T Nagar,95,164,76,19,3.2,1.0
2026-01-02,12:00,Anna Nagar,122,183,112,10,6.0,1.1
2026-01-02,12:00,Adyar,89,195,69,20,6.3,1.0
2026-01-02,12:00,Velachery,143,166,133,10,5.8,1.0
2026-01-02,12:00,Guindy,97,153,80,17,5.2,1.0
2026-01-02,12:00,OMR,99,162,82,17,4.1,1.0
2026-01-02,12:00,Tambaram,63,165,52,11,4.5,1.0
2026-01-02,12:00,Porur,75,110,62,13,4.4,1.1
2026-01-02,12:00,Egmore,74,131,62,12,3.6,1.0
2026-01-02,14:00,Chennai Central,154,193,126,28,6.5,1.0
2026-01-02,14:00,T Nagar,140,118,132,8,5.8,1.2
2026-01-02,14:00,Anna Nagar,130,123,102,28,4.5,1.2
2026-01-02,14:00,Adyar,114,134,98,16,4.0,1.1
2026-01-02,14:00,Velachery,60,170,52,8,4.4,1.0
2026-01-02,14:00,Guindy,110,156,90,20,6.5,1.1
2026-01-02,14:00,OMR,71,154,57,14,5.6,1.0
2026-01-02,14:00,Tambaram,54,139,43,11,3.6,1.1
2026-01-02,14:00,Porur,102,170,90,12,4.1,1.1
2026-01-02,14:00,Egmore,68,122,58,10,4.5,1.0
2026-01-02,16:00,Chennai Central,180,163,157,23,3.6,1.3
2026-01-02,16:00,T Nagar,122,78,95,27,5.7,1.3
2026-01-02,16:00,Anna Nagar,182,110,142,40,4.9,1.6
2026-01-02,16:00,Adyar,142,165,113,29,5.7,1.0
2026-01-02,16:00,Velachery,104,184,87,17,4.5,1.0
2026-01-02,16:00,Guindy,140,70,123,17,4.8,1.3
2026-01-02,16:00,OMR,190,76,170,20,7.3,2.0
2026-01-02,16:00,Tambaram,145,153,136,9,4.9,1.0
2026-01-02,16:00,Porur,168,103,152,16,6.4,1.3
2026-01-02,16:00,Egmore,190,128,163,27,6.9,1.2
2026-01-02,18:00,Chennai Central,276,99,233,43,9.4,2.0
2026-01-02,18:00,T Nagar,176,83,145,31,7.7,1.5
2026-01-02,18:00,Anna Nagar,171,123,138,33,7.4,1.3
2026-01-02,18:00,Adyar,158,109,129,29,4.7,1.3
2026-01-02,18:00,Velachery,169,140,141,28,7.2,1.3
2026-01-02,18:00,Guindy,276,144,228,48,8.6,1.3
2026-01-02,18:00,OMR,167,158,157,10,5.3,1.2
2026-01-02,18:00,Tambaram,214,76,199,15,7.9,2.0
2026-01-02,18:00,Porur,193,146,172,21,6.9,1.3
2026-01-02,18:00,Egmore,198,98,179,19,8.1,2.0
2026-01-02,20:00,Chennai Central,193,78,176,17,9.2,2.0
2026-01-02,20:00,T Nagar,248,118,198,50,6.4,2.0
2026-01-02,20:00,Anna Nagar,244,161,230,14,6.0,1.6
2026-01-02,20:00,Adyar,195,163,173,22,5.7,1.2
2026-01-02,20:00,Velachery,167,156,135,32,5.3,1.2
2026-01-02,20:00,Guindy,253,73,210,43,9.2,1.5
2026-01-02,20:00,OMR,242,77,203,39,9.6,2.0
2026-01-02,20:00,Tambaram,150,127,119,31,5.2,1.3
2026-01-02,20:00,Porur,136,132,125,11,3.7,1.2
2026-01-02,20:00,Egmore,218,126,195,23,7.0,1.6
2026-01-03,06:00,Chennai Central,134,156,115,19,3.9,1.1
2026-01-03,06:00,T Nagar,130,186,122,8,4.9,1.0
2026-01-03,06:00,Anna Nagar,93,157,86,7,3.1,1.0
2026-01-03,06:00,Adyar,81,147,68,13,6.0,1.0
2026-01-03,06:00,Velachery,129,167,108,21,6.1,1.0
2026-01-03,06:00,Guindy,108,74,90,18,4.5,1.1
2026-01-03,06:00,OMR,167,132,138,29,6.2,1.2
2026-01-03,06:00,Tambaram,73,150,61,12,4.9,1.0
2026-01-03,06:00,Porur,94,146,75,19,5.9,1.1
2026-01-03,06:00,Egmore,174,186,164,10,3.9,1.0
2026-01-03,08:00,Chennai Central,256,110,235,21,8.8,1.8
2026-01-03,08:00,T Nagar,203,157,182,21,6.8,1.1
2026-01-03,08:00,Anna Nagar,225,74,185,40,7.9,1.5
2026-01-03,08:00,Adyar,154,107,129,25,7.0,1.3
2026-01-03,08:00,Velachery,293,103,252,41,10.0,1.5
2026-01-03,08:00,Guindy,246,80,233,13,8.0,1.8
2026-01-03,08:00,OMR,284,124,245,39,9.3,1.5
2026-01-03,08:00,Tambaram,126,92,111,15,5.7,1.1
2026-01-03,08:00,Porur,136,100,108,28,6.1,1.3
2026-01-03,08:00,Egmore,249,120,216,33,8.8,2.0
2026-01-03,10:00,Chennai Central,139,156,125,14,3.4,1.1
2026-01-03,10:00,T Nagar,162,137,128,34,3.7,1.2
2026-01-03,10:00,Anna Nagar,138,176,111,27,4.3,1.0
2026-01-03,10:00,Adyar,104,165,86,18,5.1,1.0
2026-01-03,10:00,Velachery,139,150,115,24,4.1,1.1
2026-01-03,10:00,Guindy,114,127,98,16,6.0,1.0
2026-01-03,10:00,OMR,114,130,90,24,6.0,1.0
2026-01-03,10:00,Tambaram,157,123,135,22,7.2,1.1
2026-01-03,10:00,Porur,146,76,127,19,7.9,1.6
2026-01-03,10:00,Egmore,124,136,109,15,3.0,1.0
2026-01-03,12:00,Chennai Central,136,145,120,16,4.8,1.0
2026-01-03,12:00,T Nagar,82,81,70,12,5.4,1.3
2026-01-03,12:00,Anna Nagar,90,136,83,7,4.5,1.0
2026-01-03,12:00,Adyar,74,114,65,9,3.9,1.0
2026-01-03,12:00,Velachery,92,170,73,19,5.1,1.0
2026-01-03,12:00,Guindy,76,97,66,10,3.6,1.0
2026-01-03,12:00,OMR,70,114,57,13,3.6,1.0
2026-01-03,12:00,Tambaram,114,174,102,12,5.3,1.1
2026-01-03,12:00,Porur,111,177,93,18,4.9,1.0
2026-01-03,12:00,Egmore,133,130,114,19,4.8,1.3
2026-01-03,14:00,Chennai Central,135,93,105,30,6.8,1.2
2026-01-03,14:00,T Nagar,168,111,149,19,4.5,1.3
2026-01-03,14:00,Anna Nagar,136,121,108,28,3.6,1.2
2026-01-03,14:00,Adyar,69,160,59,10,5.0,1.0
2026-01-03,14:00,Velachery,83,93,67,16,5.7,1.0
2026-01-03,14:00,Guindy,105,101,86,19,4.7,1.1
2026-01-03,14:00,OMR,141,91,128,13,5.0,1.5
2026-01-03,14:00,Tambaram,51,117,46,5,5.7,1.0
2026-01-03,14:00,Porur,74,86,63,11,6.3,1.1
2026-01-03,14:00,Egmore,121,184,111,10,5.5,1.0
2026-01-03,16:00,Chennai Central,168,76,135,33,7.2,1.5
2026-01-03,16:00,T Nagar,223,109,179,44,6.2,1.8
2026-01-03,16:00,Anna Nagar,186,126,176,10,7.2,1.3
2026-01-03,16:00,Adyar,114,167,99,15,4.8,1.0
2026-01-03,16:00,Velachery,151,154,137,14,3.3,1.1
2026-01-03,16:00,Guindy,145,98,114,31,6.0,1.1
2026-01-03,16:00,OMR,116,135,94,22,6.4,1.0
2026-01-03,16:00,Tambaram,83,125,76,7,5.3,1.0
2026-01-03,16:00,Porur,97,78,87,10,4.4,1.3
2026-01-03,16:00,Egmore,115,76,95,20,6.3,1.3
2026-01-03,18:00,Chennai Central,267,128,208,59,8.6,1.8
2026-01-03,18:00,T Nagar,178,136,148,30,4.9,1.3
2026-01-03,18:00,Anna Nagar,152,123,138,14,4.2,1.2
2026-01-03,18:00,Adyar,168,160,138,30,4.5,1.3
2026-01-03,18:00,Velachery,202,155,167,35,6.4,1.3
2026-01-03,18:00,Guindy,298,128,278,20,7.9,1.8
2026-01-03,18:00,OMR,218,108,175,43,7.7,1.5
2026-01-03,18:00,Tambaram,214,118,177,37,6.3,1.6
2026-01-03,18:00,Porur,143,86,125,18,6.5,1.6
2026-01-03,18:00,Egmore,196,164,156,40,5.2,1.3
2026-01-03,20:00,Chennai Central,234,100,183,51,7.0,2.0
2026-01-03,20:00,T Nagar,192,83,160,32,7.4,2.0
2026-01-03,20:00,Anna Nagar,266,106,211,55,9.2,1.5
2026-01-03,20:00,Adyar,164,105,148,16,6.4,1.3
2026-01-03,20:00,Velachery,201,78,185,16,6.2,1.5
2026-01-03,20:00,Guindy,270,112,255,15,8.3,2.0
2026-01-03,20:00,OMR,277,150,225,52,8.2,1.6
2026-01-03,20:00,Tambaram,183,77,144,39,9.0,2.0
2026-01-03,20:00,Porur,233,95,220,13,8.9,2.0
2026-01-03,20:00,Egmore,221,165,194,27,7.2,1.3
2026-01-04,06:00,Chennai Central,160,132,143,17,4.6,1.2
2026-01-04,06:00,T Nagar,106,167,99,7,5.2,1.0
2026-01-04,06:00,Anna Nagar,97,132,77,20,4.2,1.0
2026-01-04,06:00,Adyar,82,117,72,10,4.7,1.0
2026-01-04,06:00,Velachery,175,93,149,26,8.1,1.6
2026-01-04,06:00,Guindy,98,77,77,21,4.9,1.1
2026-01-04,06:00,OMR,118,158,111,7,3.2,1.1
2026-01-04,06:00,Tambaram,149,116,120,29,4.2,1.1
2026-01-04,06:00,Porur,153,166,132,21,3.9,1.0
2026-01-04,06:00,Egmore,190,168,150,40,5.2,1.2
2026-01-04,08:00,Chennai Central,243,76,198,45,8.3,1.8
2026-01-04,08:00,T Nagar,282,110,264,18,8.2,1.8
2026-01-04,08:00,Anna Nagar,220,126,206,14,7.1,1.5
2026-01-04,08:00,Adyar,187,116,170,17,6.0,1.5
2026-01-04,08:00,Velachery,259,149,234,25,8.2,1.6
2026-01-04,08:00,Guindy,278,157,225,53,8.3,1.5
2026-01-04,08:00,OMR,267,110,219,48,9.7,2.0
2026-01-04,08:00,Tambaram,229,163,209,20,5.2,1.1
2026-01-04,08:00,Porur,174,163,136,38,3.6,1.3
2026-01-04,08:00,Egmore,259,126,219,40,7.7,2.0
2026-01-04,10:00,Chennai Central,112,164,106,6,4.8,1.0
2026-01-04,10:00,T Nagar,126,139,113,13,6.4,1.1
2026-01-04,10:00,Anna Nagar,106,127,85,21,3.3,1.0
2026-01-04,10:00,Adyar,113,106,94,19,4.4,1.1
2026-01-04,10:00,Velachery,140,146,115,25,6.2,1.0
2026-01-04,10:00,Guindy,140,186,118,22,3.5,1.0
2026-01-04,10:00,OMR,93,122,85,8,3.1,1.0
2026-01-04,10:00,Tambaram,72,91,61,11,5.1,1.0
2026-01-04,10:00,Porur,88,110,75,13,6.3,1.0
2026-01-04,10:00,Egmore,116,179,101,15,5.6,1.0
2026-01-04,12:00,Chennai Central,68,193,54,14,3.8,1.0
2026-01-04,12:00,T Nagar,71,94,57,14,3.3,1.0
2026-01-04,12:00,Anna Nagar,110,93,88,22,5.4,1.3
2026-01-04,12:00,Adyar,63,114,51,12,4.3,1.0
2026-01-04,12:00,Velachery,67,142,60,7,5.6,1.0
2026-01-04,12:00,Guindy,111,119,103,8,5.7,1.0
2026-01-04,12:00,OMR,69,134,58,11,6.3,1.0
2026-01-04,12:00,Tambaram,79,81,63,16,3.3,1.0
2026-01-04,12:00,Porur,83,171,73,10,5.6,1.0
2026-01-04,12:00,Egmore,144,166,119,25,6.2,1.0
2026-01-04,14:00,Chennai Central,75,156,70,5,5.2,1.0
2026-01-04,14:00,T Nagar,90,133,81,9,3.0,1.0
2026-01-04,14:00,Anna Nagar,76,127,71,5,6.0,1.0
2026-01-04,14:00,Adyar,101,136,81,20,4.2,1.0
2026-01-04,14:00,Velachery,120,185,102,18,5.5,1.1
2026-01-04,14:00,Guindy,63,156,58,5,3.5,1.0
2026-01-04,14:00,OMR,93,126,77,16,3.2,1.0
2026-01-04,14:00,Tambaram,95,160,74,21,6.5,1.0
2026-01-04,14:00,Porur,83,108,65,18,4.0,1.0
2026-01-04,14:00,Egmore,150,162,138,12,3.8,1.0
2026-01-04,16:00,Chennai Central,172,187,146,26,6.3,1.0
2026-01-04,16:00,T Nagar,101,183,87,14,6.1,1.0
2026-01-04,16:00,Anna Nagar,182,188,145,37,3.0,1.0
2026-01-04,16:00,Adyar,154,185,137,17,3.4,1.0
2026-01-04,16:00,Velachery,154,180,140,14,6.5,1.1
2026-01-04,16:00,Guindy,114,170,98,16,4.4,1.1
2026-01-04,16:00,OMR,198,166,171,27,5.9,1.2
2026-01-04,16:00,Tambaram,106,170,93,13,3.0,1.0
2026-01-04,16:00,Porur,108,158,101,7,3.7,1.1
2026-01-04,16:00,Egmore,115,163,102,13,5.5,1.0
2026-01-04,18:00,Chennai Central,228,94,179,49,9.7,1.8
2026-01-04,18:00,T Nagar,255,138,201,54,6.6,1.3
2026-01-04,18:00,Anna Nagar,185,162,156,29,4.3,1.3
2026-01-04,18:00,Adyar,190,164,156,34,3.7,1.2
2026-01-04,18:00,Velachery,279,148,231,48,9.3,1.6
2026-01-04,18:00,Guindy,172,121,149,23,4.5,1.3
2026-01-04,18:00,OMR,176,100,159,17,7.2,1.5
2026-01-04,18:00,Tambaram,203,130,180,23,6.8,1.3
2026-01-04,18:00,Porur,240,85,204,36,10.3,2.0
2026-01-04,18:00,Egmore,209,116,178,31,5.4,1.5
2026-01-04,20:00,Chennai Central,183,158,152,31,6.8,1.1
2026-01-04,20:00,T Nagar,321,139,287,34,9.4,1.8
2026-01-04,20:00,Anna Nagar,222,153,206,16,4.9,1.2
2026-01-04,20:00,Adyar,165,70,153,12,6.6,2.0
2026-01-04,20:00,Velachery,170,160,133,37,4.1,1.3
2026-01-04,20:00,Guindy,189,84,154,35,8.5,2.0
2026-01-04,20:00,OMR,238,117,186,52,7.5,1.8
2026-01-04,20:00,Tambaram,231,127,196,35,8.2,1.6
2026-01-04,20:00,Porur,171,83,139,32,7.6,1.5
2026-01-04,20:00,Egmore,249,74,228,21,8.6,1.5
2026-01-05,06:00,Chennai Central,154,147,132,22,3.9,1.1
2026-01-05,06:00,T Nagar,163,118,147,16,7.2,1.1
2026-01-05,06:00,Anna Nagar,84,115,69,15,3.3,1.0
2026-01-05,06:00,Adyar,123,159,110,13,6.0,1.0
2026-01-05,06:00,Velachery,178,76,141,37,6.2,2.0
2026-01-05,06:00,Guindy,127,93,104,23,4.7,1.1
2026-01-05,06:00,OMR,126,135,103,23,3.0,1.0
2026-01-05,06:00,Tambaram,148,111,121,27,7.2,1.2
2026-01-05,06:00,Porur,152,118,126,26,6.6,1.2
2026-01-05,06:00,Egmore,195,92,182,13,6.5,2.0
2026-01-05,08:00,Chennai Central,182,106,151,31,6.2,1.6
2026-01-05,08:00,T Nagar,290,107,259,31,10.2,1.8
2026-01-05,08:00,Anna Nagar,198,106,175,23,6.7,1.6
2026-01-05,08:00,Adyar,178,123,141,37,5.9,1.1
2026-01-05,08:00,Velachery,204,71,162,42,8.7,1.5
2026-01-05,08:00,Guindy,211,129,166,45,8.0,1.5
2026-01-05,08:00,OMR,161,167,146,15,5.4,1.0
2026-01-05,08:00,Tambaram,221,115,183,38,8.4,1.5
2026-01-05,08:00,Porur,232,110,216,16,9.4,2.0
2026-01-05,08:00,Egmore,172,86,149,23,8.1,1.3
2026-01-05,10:00,Chennai Central,193,181,169,24,6.3,1.1
2026-01-05,10:00,T Nagar,151,75,121,30,5.6,2.0
2026-01-05,10:00,Anna Nagar,150,76,135,15,7.2,1.3
2026-01-05,10:00,Adyar,136,83,119,17,6.5,1.3
2026-01-05,10:00,Velachery,105,156,82,23,3.2,1.0
2026-01-05,10:00,Guindy,165,74,133,32,7.5,2.0
2026-01-05,10:00,OMR,106,137,92,14,3.2,1.1
2026-01-05,10:00,Tambaram,87,182,81,6,4.1,1.0
2026-01-05,10:00,Porur,124,133,116,8,6.3,1.0
2026-01-05,10:00,Egmore,130,74,111,19,7.5,1.6
2026-01-05,12:00,Chennai Central,168,188,150,18,5.9,1.0
2026-01-05,12:00,T Nagar,68,80,58,10,5.6,1.0
2026-01-05,12:00,Anna Nagar,110,154,95,15,5.6,1.0
2026-01-05,12:00,Adyar,74,197,58,16,5.2,1.0
2026-01-05,12:00,Velachery,155,162,135,20,5.4,1.0
2026-01-05,12:00,Guindy,92,187,73,19,5.8,1.0
2026-01-05,12:00,OMR,141,193,125,16,4.7,1.0
2026-01-05,12:00,Tambaram,69,93,59,10,5.2,1.1
2026-01-05,12:00,Porur,86,172,75,11,3.7,1.0
2026-01-05,12:00,Egmore,149,104,131,18,4.6,1.1
2026-01-05,14:00,Chennai Central,99,187,78,21,4.3,1.1
2026-01-05,14:00,T Nagar,108,125,87,21,4.9,1.0
2026-01-05,14:00,Anna Nagar,145,196,130,15,3.0,1.1
2026-01-05,14:00,Adyar,78,177,61,17,5.6,1.1
2026-01-05,14:00,Velachery,101,101,93,8,5.6,1.1
2026-01-05,14:00,Guindy,74,179,58,16,5.7,1.0
2026-01-05,14:00,OMR,101,161,80,21,5.9,1.0
2026-01-05,14:00,Tambaram,119,185,103,16,4.4,1.0
2026-01-05,14:00,Porur,64,150,54,10,4.3,1.0
2026-01-05,14:00,Egmore,97,84,88,9,6.0,1.2
2026-01-05,16:00,Chennai Central,144,128,132,12,5.8,1.1
2026-01-05,16:00,T Nagar,105,122,99,6,4.1,1.0
2026-01-05,16:00,Anna Nagar,180,129,166,14,6.4,1.2
2026-01-05,16:00,Adyar,134,144,115,19,6.5,1.1
2026-01-05,16:00,Velachery,108,84,93,15,4.4,1.3
2026-01-05,16:00,Guindy,99,124,93,6,4.6,1.1
2026-01-05,16:00,OMR,90,159,83,7,5.8,1.1
2026-01-05,16:00,Tambaram,98,89,80,18,4.1,1.3
2026-01-05,16:00,Porur,141,151,122,19,4.9,1.0
2026-01-05,16:00,Egmore,176,123,137,39,7.5,1.3
2026-01-05,18:00,Chennai Central,291,100,234,57,9.9,2.0
2026-01-05,18:00,T Nagar,206,121,164,42,7.5,1.6
2026-01-05,18:00,Anna Nagar,257,153,214,43,6.4,1.3
2026-01-05,18:00,Adyar,149,160,126,23,4.6,1.0
2026-01-05,18:00,Velachery,167,161,135,32,3.3,1.1
2026-01-05,18:00,Guindy,212,158,196,16,6.7,1.3
2026-01-05,18:00,OMR,173,133,144,29,6.4,1.3
2026-01-05,18:00,Tambaram,167,104,158,9,5.5,1.5
2026-01-05,18:00,Porur,172,90,157,15,6.3,1.3
2026-01-05,18:00,Egmore,173,99,152,21,6.5,1.5
2026-01-05,20:00,Chennai Central,186,116,151,35,6.4,1.3
2026-01-05,20:00,T Nagar,277,150,262,15,9.2,1.6
2026-01-05,20:00,Anna Nagar,263,97,207,56,7.6,1.8
2026-01-05,20:00,Adyar,193,144,161,32,5.5,1.3
2026-01-05,20:00,Velachery,251,169,221,30,5.9,1.3
2026-01-05,20:00,Guindy,295,101,263,32,9.3,2.0
2026-01-05,20:00,OMR,198,139,170,28,7.6,1.1
2026-01-05,20:00,Tambaram,176,114,154,22,5.2,1.6
2026-01-05,20:00,Porur,196,144,163,33,6.5,1.2
2026-01-05,20:00,Egmore,267,160,253,14,8.2,1.5
2026-01-06,06:00,Chennai Central,184,95,152,32,8.1,1.3
2026-01-06,06:00,T Nagar,161,101,132,29,6.0,1.5
2026-01-06,06:00,Anna Nagar,127,124,106,21,4.7,1.2
2026-01-06,06:00,Adyar,163,127,151,12,5.9,1.1
2026-01-06,06:00,Velachery,172,165,154,18,3.3,1.2
2026-01-06,06:00,Guindy,128,180,108,20,5.4,1.0
2026-01-06,06:00,OMR,132,92,114,18,7.1,1.1
2026-01-06,06:00,Tambaram,128,97,104,24,4.3,1.1
2026-01-06,06:00,Porur,148,135,130,18,6.5,1.2
2026-01-06,06:00,Egmore,101,130,81,20,3.8,1.1
2026-01-06,08:00,Chennai Central,307,120,280,27,10.6,2.0
2026-01-06,08:00,T Nagar,310,116,274,36,10.4,1.8
2026-01-06,08:00,Anna Nagar,231,108,216,15,8.3,1.8
2026-01-06,08:00,Adyar,190,125,156,34,7.7,1.5
2026-01-06,08:00,Velachery,296,118,238,58,10.4,2.0
2026-01-06,08:00,Guindy,242,95,219,23,8.2,1.8
2026-01-06,08:00,OMR,184,95,171,13,8.7,1.6
2026-01-06,08:00,Tambaram,156,126,131,25,4.2,1.3
2026-01-06,08:00,Porur,165,106,143,22,6.3,1.3
2026-01-06,08:00,Egmore,203,130,191,12,5.7,1.3
2026-01-06,10:00,Chennai Central,111,139,102,9,5.4,1.0
2026-01-06,10:00,T Nagar,216,170,198,18,5.0,1.1
2026-01-06,10:00,Anna Nagar,153,167,119,34,5.7,1.0
2026-01-06,10:00,Adyar,103,159,95,8,4.3,1.0
2026-01-06,10:00,Velachery,166,87,144,22,5.1,1.6
2026-01-06,10:00,Guindy,176,185,141,35,6.4,1.1
2026-01-06,10:00,OMR,91,186,84,7,4.7,1.0
