Date,Time,DateTime,Zone,DayOfWeekNumber,DayOfWeek,Hour,Weather,Temperature_C,Rainfall_mm,Ride_Requests,Available_Vehicles,Expected_Demand,Demand_Supply_Gap
2026-01-01,05:00,2026-01-01 05:00:00,Central Business District,3,Thursday,5,Cloudy,25.4,0.0,62,63,62,-1
2026-01-01,05:00,2026-01-01 05:00:00,Airport,3,Thursday,5,Cloudy,25.4,0.0,42,61,45,-16
2026-01-01,05:00,2026-01-01 05:00:00,Railway Station,3,Thursday,5,Cloudy,25.4,0.0,49,78,51,-27
2026-01-01,05:00,2026-01-01 05:00:00,IT Park,3,Thursday,5,Cloudy,25.4,0.0,51,66,53,-13
2026-01-01,05:00,2026-01-01 05:00:00,Residential North,3,Thursday,5,Cloudy,25.4,0.0,28,56,29,-27
2026-01-01,05:00,2026-01-01 05:00:00,Residential South,3,Thursday,5,Cloudy,25.4,0.0,29,37,30,-7
2026-01-01,05:00,2026-01-01 05:00:00,Shopping District,3,Thursday,5,Cloudy,25.4,0.0,46,51,48,-3
2026-01-01,05:00,2026-01-01 05:00:00,University Area,3,Thursday,5,Cloudy,25.4,0.0,39,47,41,-6
2026-01-01,05:00,2026-01-01 05:00:00,Industrial Area,3,Thursday,5,Cloudy,25.4,0.0,25,24,25,1
2026-01-01,05:00,2026-01-01 05:00:00,Bus Terminal,3,Thursday,5,Cloudy,25.4,0.0,53,58,55,-3
2026-01-01,06:00,2026-01-01 06:00:00,Central Business District,3,Thursday,6,Light Rain,29.6,3.2,61,72,62,-10
2026-01-01,06:00,2026-01-01 06:00:00,Airport,3,Thursday,6,Light Rain,29.6,3.2,73,67,77,10
2026-01-01,06:00,2026-01-01 06:00:00,Railway Station,3,Thursday,6,Light Rain,29.6,3.2,54,61,56,-5
2026-01-01,06:00,2026-01-01 06:00:00,IT Park,3,Thursday,6,Light Rain,29.6,3.2,48,63,50,-13
2026-01-01,06:00,2026-01-01 06:00:00,Residential North,3,Thursday,6,Light Rain,29.6,3.2,36,52,38,-14
2026-01-01,06:00,2026-01-01 06:00:00,Residential South,3,Thursday,6,Light Rain,29.6,3.2,34,55,33,-22
2026-01-01,06:00,2026-01-01 06:00:00,Shopping District,3,Thursday,6,Light Rain,29.6,3.2,56,60,58,-2
2026-01-01,06:00,2026-01-01 06:00:00,University Area,3,Thursday,6,Light Rain,29.6,3.2,44,57,44,-13
2026-01-01,06:00,2026-01-01 06:00:00,Industrial Area,3,Thursday,6,Light Rain,29.6,3.2,25,39,26,-13
2026-01-01,06:00,2026-01-01 06:00:00,Bus Terminal,3,Thursday,6,Light Rain,29.6,3.2,50,72,51,-21
2026-01-01,07:00,2026-01-01 07:00:00,Central Business District,3,Thursday,7,Cloudy,31.7,0.6,147,132,151,19
2026-01-01,07:00,2026-01-01 07:00:00,Airport,3,Thursday,7,Cloudy,31.7,0.6,118,85,123,38
2026-01-01,07:00,2026-01-01 07:00:00,Railway Station,3,Thursday,7,Cloudy,31.7,0.6,147,163,154,-9
2026-01-01,07:00,2026-01-01 07:00:00,IT Park,3,Thursday,7,Cloudy,31.7,0.6,117,117,117,0
2026-01-01,07:00,2026-01-01 07:00:00,Residential North,3,Thursday,7,Cloudy,31.7,0.6,75,84,73,-11
2026-01-01,07:00,2026-01-01 07:00:00,Residential South,3,Thursday,7,Cloudy,31.7,0.6,63,72,65,-7
2026-01-01,07:00,2026-01-01 07:00:00,Shopping District,3,Thursday,7,Cloudy,31.7,0.6,130,112,129,17
2026-01-01,07:00,2026-01-01 07:00:00,University Area,3,Thursday,7,Cloudy,31.7,0.6,95,103,97,-6
2026-01-01,07:00,2026-01-01 07:00:00,Industrial Area,3,Thursday,7,Cloudy,31.7,0.6,77,95,80,-15
2026-01-01,07:00,2026-01-01 07:00:00,Bus Terminal,3,Thursday,7,Cloudy,31.7,0.6,129,121,132,11
2026-01-01,08:00,2026-01-01 08:00:00,Central Business District,3,Thursday,8,Sunny,31.3,0.0,138,151,136,-15
2026-01-01,08:00,2026-01-01 08:00:00,Airport,3,Thursday,8,Sunny,31.3,0.0,71,81,76,-5
2026-01-01,08:00,2026-01-01 08:00:00,Railway Station,3,Thursday,8,Sunny,31.3,0.0,139,107,143,36
2026-01-01,08:00,2026-01-01 08:00:00,IT Park,3,Thursday,8,Sunny,31.3,0.0,118,97,118,21
2026-01-01,08:00,2026-01-01 08:00:00,Residential North,3,Thursday,8,Sunny,31.3,0.0,77,72,77,5
2026-01-01,08:00,2026-01-01 08:00:00,Residential South,3,Thursday,8,Sunny,31.3,0.0,71,75,72,-3
2026-01-01,08:00,2026-01-01 08:00:00,Shopping District,3,Thursday,8,Sunny,31.3,0.0,96,86,96,10
2026-01-01,08:00,2026-01-01 08:00:00,University Area,3,Thursday,8,Sunny,31.3,0.0,118,113,121,8
2026-01-01,08:00,2026-01-01 08:00:00,Industrial Area,3,Thursday,8,Sunny,31.3,0.0,63,69,64,-5
2026-01-01,08:00,2026-01-01 08:00:00,Bus Terminal,3,Thursday,8,Sunny,31.3,0.0,81,87,87,0
2026-01-01,09:00,2026-01-01 09:00:00,Central Business District,3,Thursday,9,Sunny,29.5,0.0,131,137,132,-5
2026-01-01,09:00,2026-01-01 09:00:00,Airport,3,Thursday,9,Sunny,29.5,0.0,109,82,110,28
2026-01-01,09:00,2026-01-01 09:00:00,Railway Station,3,Thursday,9,Sunny,29.5,0.0,120,104,121,17
2026-01-01,09:00,2026-01-01 09:00:00,IT Park,3,Thursday,9,Sunny,29.5,0.0,112,129,117,-12
2026-01-01,09:00,2026-01-01 09:00:00,Residential North,3,Thursday,9,Sunny,29.5,0.0,64,91,65,-26
2026-01-01,09:00,2026-01-01 09:00:00,Residential South,3,Thursday,9,Sunny,29.5,0.0,75,87,75,-12
2026-01-01,09:00,2026-01-01 09:00:00,Shopping District,3,Thursday,9,Sunny,29.5,0.0,91,95,93,-2
2026-01-01,09:00,2026-01-01 09:00:00,University Area,3,Thursday,9,Sunny,29.5,0.0,93,88,95,7
2026-01-01,09:00,2026-01-01 09:00:00,Industrial Area,3,Thursday,9,Sunny,29.5,0.0,54,57,56,-1
2026-01-01,09:00,2026-01-01 09:00:00,Bus Terminal,3,Thursday,9,Sunny,29.5,0.0,103,101,105,4
2026-01-01,10:00,2026-01-01 10:00:00,Central Business District,3,Thursday,10,Cloudy,28.2,0.6,105,99,106,7
2026-01-01,10:00,2026-01-01 10:00:00,Airport,3,Thursday,10,Cloudy,28.2,0.6,53,58,53,-5
2026-01-01,10:00,2026-01-01 10:00:00,Railway Station,3,Thursday,10,Cloudy,28.2,0.6,83,114,82,-32
2026-01-01,10:00,2026-01-01 10:00:00,IT Park,3,Thursday,10,Cloudy,28.2,0.6,75,85,79,-6
2026-01-01,10:00,2026-01-01 10:00:00,Residential North,3,Thursday,10,Cloudy,28.2,0.6,49,54,49,-5
2026-01-01,10:00,2026-01-01 10:00:00,Residential South,3,Thursday,10,Cloudy,28.2,0.6,47,72,48,-24
2026-01-01,10:00,2026-01-01 10:00:00,Shopping District,3,Thursday,10,Cloudy,28.2,0.6,70,79,72,-7
2026-01-01,10:00,2026-01-01 10:00:00,University Area,3,Thursday,10,Cloudy,28.2,0.6,62,63,63,0
2026-01-01,10:00,2026-01-01 10:00:00,Industrial Area,3,Thursday,10,Cloudy,28.2,0.6,45,55,44,-11
2026-01-01,10:00,2026-01-01 10:00:00,Bus Terminal,3,Thursday,10,Cloudy,28.2,0.6,72,71,74,3
2026-01-01,11:00,2026-01-01 11:00:00,Central Business District,3,Thursday,11,Sunny,31.6,0.0,94,98,98,0
2026-01-01,11:00,2026-01-01 11:00:00,Airport,3,Thursday,11,Sunny,31.6,0.0,64,86,66,-20
2026-01-01,11:00,2026-01-01 11:00:00,Railway Station,3,Thursday,11,Sunny,31.6,0.0,72,78,74,-4
2026-01-01,11:00,2026-01-01 11:00:00,IT Park,3,Thursday,11,Sunny,31.6,0.0,74,92,75,-17
2026-01-01,11:00,2026-01-01 11:00:00,Residential North,3,Thursday,11,Sunny,31.6,0.0,41,53,43,-10
2026-01-01,11:00,2026-01-01 11:00:00,Residential South,3,Thursday,11,Sunny,31.6,0.0,42,61,45,-16
2026-01-01,11:00,2026-01-01 11:00:00,Shopping District,3,Thursday,11,Sunny,31.6,0.0,57,70,60,-10
2026-01-01,11:00,2026-01-01 11:00:00,University Area,3,Thursday,11,Sunny,31.6,0.0,53,77,55,-22
2026-01-01,11:00,2026-01-01 11:00:00,Industrial Area,3,Thursday,11,Sunny,31.6,0.0,43,57,43,-14
2026-01-01,11:00,2026-01-01 11:00:00,Bus Terminal,3,Thursday,11,Sunny,31.6,0.0,80,108,81,-27
2026-01-01,12:00,2026-01-01 12:00:00,Central Business District,3,Thursday,12,Light Rain,26.8,1.8,110,110,118,8
2026-01-01,12:00,2026-01-01 12:00:00,Airport,3,Thursday,12,Light Rain,26.8,1.8,71,60,75,15
2026-01-01,12:00,2026-01-01 12:00:00,Railway Station,3,Thursday,12,Light Rain,26.8,1.8,86,81,92,11
2026-01-01,12:00,2026-01-01 12:00:00,IT Park,3,Thursday,12,Light Rain,26.8,1.8,76,80,73,-7
2026-01-01,12:00,2026-01-01 12:00:00,Residential North,3,Thursday,12,Light Rain,26.8,1.8,53,80,56,-24
2026-01-01,12:00,2026-01-01 12:00:00,Residential South,3,Thursday,12,Light Rain,26.8,1.8,46,66,47,-19
2026-01-01,12:00,2026-01-01 12:00:00,Shopping District,3,Thursday,12,Light Rain,26.8,1.8,83,84,84,0
2026-01-01,12:00,2026-01-01 12:00:00,University Area,3,Thursday,12,Light Rain,26.8,1.8,58,65,59,-6
2026-01-01,12:00,2026-01-01 12:00:00,Industrial Area,3,Thursday,12,Light Rain,26.8,1.8,43,67,42,-25
2026-01-01,12:00,2026-01-01 12:00:00,Bus Terminal,3,Thursday,12,Light Rain,26.8,1.8,74,67,74,7
2026-01-01,13:00,2026-01-01 13:00:00,Central Business District,3,Thursday,13,Sunny,33.5,0.0,85,91,86,-5
2026-01-01,13:00,2026-01-01 13:00:00,Airport,3,Thursday,13,Sunny,33.5,0.0,59,71,59,-12
2026-01-01,13:00,2026-01-01 13:00:00,Railway Station,3,Thursday,13,Sunny,33.5,0.0,76,81,79,-2
2026-01-01,13:00,2026-01-01 13:00:00,IT Park,3,Thursday,13,Sunny,33.5,0.0,87,81,88,7
2026-01-01,13:00,2026-01-01 13:00:00,Residential North,3,Thursday,13,Sunny,33.5,0.0,44,44,47,3
2026-01-01,13:00,2026-01-01 13:00:00,Residential South,3,Thursday,13,Sunny,33.5,0.0,38,55,37,-18
2026-01-01,13:00,2026-01-01 13:00:00,Shopping District,3,Thursday,13,Sunny,33.5,0.0,54,68,55,-13
2026-01-01,13:00,2026-01-01 13:00:00,University Area,3,Thursday,13,Sunny,33.5,0.0,69,76,70,-6
2026-01-01,13:00,2026-01-01 13:00:00,Industrial Area,3,Thursday,13,Sunny,33.5,0.0,35,46,38,-8
2026-01-01,13:00,2026-01-01 13:00:00,Bus Terminal,3,Thursday,13,Sunny,33.5,0.0,69,93,74,-19
2026-01-01,14:00,2026-01-01 14:00:00,Central Business District,3,Thursday,14,Cloudy,24.3,0.5,77,74,80,6
2026-01-01,14:00,2026-01-01 14:00:00,Airport,3,Thursday,14,Cloudy,24.3,0.5,53,61,55,-6
2026-01-01,14:00,2026-01-01 14:00:00,Railway Station,3,Thursday,14,Cloudy,24.3,0.5,81,87,84,-3
2026-01-01,14:00,2026-01-01 14:00:00,IT Park,3,Thursday,14,Cloudy,24.3,0.5,73,75,72,-3
2026-01-01,14:00,2026-01-01 14:00:00,Residential North,3,Thursday,14,Cloudy,24.3,0.5,52,64,53,-11
2026-01-01,14:00,2026-01-01 14:00:00,Residential South,3,Thursday,14,Cloudy,24.3,0.5,55,54,57,3
2026-01-01,14:00,2026-01-01 14:00:00,Shopping District,3,Thursday,14,Cloudy,24.3,0.5,70,69,74,5
2026-01-01,14:00,2026-01-01 14:00:00,University Area,3,Thursday,14,Cloudy,24.3,0.5,46,61,48,-13
2026-01-01,14:00,2026-01-01 14:00:00,Industrial Area,3,Thursday,14,Cloudy,24.3,0.5,49,60,51,-9
2026-01-01,14:00,2026-01-01 14:00:00,Bus Terminal,3,Thursday,14,Cloudy,24.3,0.5,59,73,61,-12
2026-01-01,15:00,2026-01-01 15:00:00,Central Business District,3,Thursday,15,Heavy Rain,24.6,28.8,129,123,128,5
2026-01-01,15:00,2026-01-01 15:00:00,Airport,3,Thursday,15,Heavy Rain,24.6,28.8,82,89,85,-4
2026-01-01,15:00,2026-01-01 15:00:00,Railway Station,3,Thursday,15,Heavy Rain,24.6,28.8,96,97,101,4
2026-01-01,15:00,2026-01-01 15:00:00,IT Park,3,Thursday,15,Heavy Rain,24.6,28.8,93,101,96,-5
2026-01-01,15:00,2026-01-01 15:00:00,Residential North,3,Thursday,15,Heavy Rain,24.6,28.8,66,47,69,22
2026-01-01,15:00,2026-01-01 15:00:00,Residential South,3,Thursday,15,Heavy Rain,24.6,28.8,53,44,56,12
2026-01-01,15:00,2026-01-01 15:00:00,Shopping District,3,Thursday,15,Heavy Rain,24.6,28.8,85,69,83,14
2026-01-01,15:00,2026-01-01 15:00:00,University Area,3,Thursday,15,Heavy Rain,24.6,28.8,56,63,57,-6
2026-01-01,15:00,2026-01-01 15:00:00,Industrial Area,3,Thursday,15,Heavy Rain,24.6,28.8,63,86,62,-24
2026-01-01,15:00,2026-01-01 15:00:00,Bus Terminal,3,Thursday,15,Heavy Rain,24.6,28.8,87,87,88,1
2026-01-01,16:00,2026-01-01 16:00:00,Central Business District,3,Thursday,16,Sunny,32.8,0.0,76,82,79,-3
2026-01-01,16:00,2026-01-01 16:00:00,Airport,3,Thursday,16,Sunny,32.8,0.0,57,88,58,-30
2026-01-01,16:00,2026-01-01 16:00:00,Railway Station,3,Thursday,16,Sunny,32.8,0.0,79,93,85,-8
2026-01-01,16:00,2026-01-01 16:00:00,IT Park,3,Thursday,16,Sunny,32.8,0.0,69,64,71,7
2026-01-01,16:00,2026-01-01 16:00:00,Residential North,3,Thursday,16,Sunny,32.8,0.0,52,63,55,-8
2026-01-01,16:00,2026-01-01 16:00:00,Residential South,3,Thursday,16,Sunny,32.8,0.0,52,68,54,-14
2026-01-01,16:00,2026-01-01 16:00:00,Shopping District,3,Thursday,16,Sunny,32.8,0.0,86,95,91,-4
2026-01-01,16:00,2026-01-01 16:00:00,University Area,3,Thursday,16,Sunny,32.8,0.0,73,96,78,-18
2026-01-01,16:00,2026-01-01 16:00:00,Industrial Area,3,Thursday,16,Sunny,32.8,0.0,42,63,42,-21
2026-01-01,16:00,2026-01-01 16:00:00,Bus Terminal,3,Thursday,16,Sunny,32.8,0.0,67,86,69,-17
2026-01-01,17:00,2026-01-01 17:00:00,Central Business District,3,Thursday,17,Cloudy,28.1,0.3,187,175,194,19
2026-01-01,17:00,2026-01-01 17:00:00,Airport,3,Thursday,17,Cloudy,28.1,0.3,126,132,130,-2
2026-01-01,17:00,2026-01-01 17:00:00,Railway Station,3,Thursday,17,Cloudy,28.1,0.3,135,136,139,3
2026-01-01,17:00,2026-01-01 17:00:00,IT Park,3,Thursday,17,Cloudy,28.1,0.3,132,109,137,28
2026-01-01,17:00,2026-01-01 17:00:00,Residential North,3,Thursday,17,Cloudy,28.1,0.3,92,106,91,-15
2026-01-01,17:00,2026-01-01 17:00:00,Residential South,3,Thursday,17,Cloudy,28.1,0.3,61,57,64,7
2026-01-01,17:00,2026-01-01 17:00:00,Shopping District,3,Thursday,17,Cloudy,28.1,0.3,117,112,122,10
2026-01-01,17:00,2026-01-01 17:00:00,University Area,3,Thursday,17,Cloudy,28.1,0.3,128,103,130,27
2026-01-01,17:00,2026-01-01 17:00:00,Industrial Area,3,Thursday,17,Cloudy,28.1,0.3,71,78,71,-7
2026-01-01,17:00,2026-01-01 17:00:00,Bus Terminal,3,Thursday,17,Cloudy,28.1,0.3,132,144,137,-7
2026-01-01,18:00,2026-01-01 18:00:00,Central Business District,3,Thursday,18,Cloudy,28.9,0.6,161,163,172,9
2026-01-01,18:00,2026-01-01 18:00:00,Airport,3,Thursday,18,Cloudy,28.9,0.6,117,105,121,16
2026-01-01,18:00,2026-01-01 18:00:00,Railway Station,3,Thursday,18,Cloudy,28.9,0.6,139,125,137,12
2026-01-01,18:00,2026-01-01 18:00:00,IT Park,3,Thursday,18,Cloudy,28.9,0.6,100,95,105,10
2026-01-01,18:00,2026-01-01 18:00:00,Residential North,3,Thursday,18,Cloudy,28.9,0.6,77,82,77,-5
2026-01-01,18:00,2026-01-01 18:00:00,Residential South,3,Thursday,18,Cloudy,28.9,0.6,93,94,96,2
2026-01-01,18:00,2026-01-01 18:00:00,Shopping District,3,Thursday,18,Cloudy,28.9,0.6,121,106,124,18
2026-01-01,18:00,2026-01-01 18:00:00,University Area,3,Thursday,18,Cloudy,28.9,0.6,111,111,118,7
2026-01-01,18:00,2026-01-01 18:00:00,Industrial Area,3,Thursday,18,Cloudy,28.9,0.6,77,84,80,-4
2026-01-01,18:00,2026-01-01 18:00:00,Bus Terminal,3,Thursday,18,Cloudy,28.9,0.6,132,137,140,3
2026-01-01,19:00,2026-01-01 19:00:00,Central Business District,3,Thursday,19,Sunny,30.4,0.0,174,163,175,12
2026-01-01,19:00,2026-01-01 19:00:00,Airport,3,Thursday,19,Sunny,30.4,0.0,104,139,107,-32
2026-01-01,19:00,2026-01-01 19:00:00,Railway Station,3,Thursday,19,Sunny,30.4,0.0,128,119,130,11
2026-01-01,19:00,2026-01-01 19:00:00,IT Park,3,Thursday,19,Sunny,30.4,0.0,137,140,144,4
2026-01-01,19:00,2026-01-01 19:00:00,Residential North,3,Thursday,19,Sunny,30.4,0.0,57,73,59,-14
2026-01-01,19:00,2026-01-01 19:00:00,Residential South,3,Thursday,19,Sunny,30.4,0.0,74,82,77,-5
2026-01-01,19:00,2026-01-01 19:00:00,Shopping District,3,Thursday,19,Sunny,30.4,0.0,140,158,146,-12
2026-01-01,19:00,2026-01-01 19:00:00,University Area,3,Thursday,19,Sunny,30.4,0.0,82,71,84,13
2026-01-01,19:00,2026-01-01 19:00:00,Industrial Area,3,Thursday,19,Sunny,30.4,0.0,71,66,71,5
2026-01-01,19:00,2026-01-01 19:00:00,Bus Terminal,3,Thursday,19,Sunny,30.4,0.0,117,122,117,-5
2026-01-01,20:00,2026-01-01 20:00:00,Central Business District,3,Thursday,20,Sunny,29.1,0.0,147,149,147,-2
2026-01-01,20:00,2026-01-01 20:00:00,Airport,3,Thursday,20,Sunny,29.1,0.0,138,114,147,33
2026-01-01,20:00,2026-01-01 20:00:00,Railway Station,3,Thursday,20,Sunny,29.1,0.0,140,130,151,21
2026-01-01,20:00,2026-01-01 20:00:00,IT Park,3,Thursday,20,Sunny,29.1,0.0,133,144,136,-8
2026-01-01,20:00,2026-01-01 20:00:00,Residential North,3,Thursday,20,Sunny,29.1,0.0,74,85,76,-9
2026-01-01,20:00,2026-01-01 20:00:00,Residential South,3,Thursday,20,Sunny,29.1,0.0,77,66,81,15
2026-01-01,20:00,2026-01-01 20:00:00,Shopping District,3,Thursday,20,Sunny,29.1,0.0,166,138,170,32
2026-01-01,20:00,2026-01-01 20:00:00,University Area,3,Thursday,20,Sunny,29.1,0.0,87,87,88,1
2026-01-01,20:00,2026-01-01 20:00:00,Industrial Area,3,Thursday,20,Sunny,29.1,0.0,78,91,81,-10
2026-01-01,20:00,2026-01-01 20:00:00,Bus Terminal,3,Thursday,20,Sunny,29.1,0.0,115,137,119,-18
2026-01-01,21:00,2026-01-01 21:00:00,Central Business District,3,Thursday,21,Sunny,32.1,0.0,99,101,99,-2
2026-01-01,21:00,2026-01-01 21:00:00,Airport,3,Thursday,21,Sunny,32.1,0.0,94,110,96,-14
2026-01-01,21:00,2026-01-01 21:00:00,Railway Station,3,Thursday,21,Sunny,32.1,0.0,101,113,100,-13
2026-01-01,21:00,2026-01-01 21:00:00,IT Park,3,Thursday,21,Sunny,32.1,0.0,80,96,84,-12
2026-01-01,21:00,2026-01-01 21:00:00,Residential North,3,Thursday,21,Sunny,32.1,0.0,55,57,55,-2
2026-01-01,21:00,2026-01-01 21:00:00,Residential South,3,Thursday,21,Sunny,32.1,0.0,37,40,38,-2
2026-01-01,21:00,2026-01-01 21:00:00,Shopping District,3,Thursday,21,Sunny,32.1,0.0,81,83,86,3
2026-01-01,21:00,2026-01-01 21:00:00,University Area,3,Thursday,21,Sunny,32.1,0.0,53,60,56,-4
2026-01-01,21:00,2026-01-01 21:00:00,Industrial Area,3,Thursday,21,Sunny,32.1,0.0,42,37,45,8
2026-01-01,21:00,2026-01-01 21:00:00,Bus Terminal,3,Thursday,21,Sunny,32.1,0.0,70,88,73,-15
2026-01-01,22:00,2026-01-01 22:00:00,Central Business District,3,Thursday,22,Cloudy,29.5,0.2,100,109,101,-8
2026-01-01,22:00,2026-01-01 22:00:00,Airport,3,Thursday,22,Cloudy,29.5,0.2,76,84,75,-9
2026-01-01,22:00,2026-01-01 22:00:00,Railway Station,3,Thursday,22,Cloudy,29.5,0.2,107,113,106,-7
2026-01-01,22:00,2026-01-01 22:00:00,IT Park,3,Thursday,22,Cloudy,29.5,0.2,83,88,89,1
2026-01-01,22:00,2026-01-01 22:00:00,Residential North,3,Thursday,22,Cloudy,29.5,0.2,54,71,56,-15
2026-01-01,22:00,2026-01-01 22:00:00,Residential South,3,Thursday,22,Cloudy,29.5,0.2,47,60,50,-10
2026-01-01,22:00,2026-01-01 22:00:00,Shopping District,3,Thursday,22,Cloudy,29.5,0.2,80,94,80,-14
