Date,Time,DateTime,Zone,Demand,Available_Vehicles,Weather,Avg_Delay_Min
2026-01-02,03:00,2026-01-02 03:00:00,Central,116,263,Cloudy,7.1
2026-01-02,03:00,2026-01-02 03:00:00,North,92,175,Cloudy,5.2
2026-01-02,03:00,2026-01-02 03:00:00,South,87,194,Clear,5.1
2026-01-02,03:00,2026-01-02 03:00:00,East,53,155,Clear,3.3
2026-01-02,03:00,2026-01-02 03:00:00,West,80,167,Clear,5.1
2026-01-02,04:00,2026-01-02 04:00:00,Central,112,271,Clear,6.7
2026-01-02,04:00,2026-01-02 04:00:00,North,91,155,Cloudy,4.8
2026-01-02,04:00,2026-01-02 04:00:00,South,97,214,Clear,5.7
2026-01-02,04:00,2026-01-02 04:00:00,East,87,149,Rain,8.4
2026-01-02,04:00,2026-01-02 04:00:00,West,75,171,Clear,5.8
2026-01-02,05:00,2026-01-02 05:00:00,Central,127,272,Clear,4.5
2026-01-02,05:00,2026-01-02 05:00:00,North,80,200,Clear,4.0
2026-01-02,05:00,2026-01-02 05:00:00,South,78,214,Clear,7.5
2026-01-02,05:00,2026-01-02 05:00:00,East,63,155,Clear,6.3
2026-01-02,05:00,2026-01-02 05:00:00,West,81,157,Cloudy,7.7
2026-01-02,06:00,2026-01-02 06:00:00,Central,122,277,Clear,6.4
2026-01-02,06:00,2026-01-02 06:00:00,North,95,179,Rain,7.7
2026-01-02,06:00,2026-01-02 06:00:00,South,107,218,Clear,4.5
2026-01-02,06:00,2026-01-02 06:00:00,East,81,142,Rain,7.5
2026-01-02,06:00,2026-01-02 06:00:00,West,86,168,Rain,10.4
2026-01-02,07:00,2026-01-02 07:00:00,Central,315,228,Cloudy,13.6
2026-01-02,07:00,2026-01-02 07:00:00,North,183,151,Clear,7.0
2026-01-02,07:00,2026-01-02 07:00:00,South,247,190,Clear,8.1
2026-01-02,07:00,2026-01-02 07:00:00,East,160,155,Clear,5.0
2026-01-02,07:00,2026-01-02 07:00:00,West,218,150,Rain,13.8
2026-01-02,08:00,2026-01-02 08:00:00,Central,298,228,Cloudy,10.2
2026-01-02,08:00,2026-01-02 08:00:00,North,187,176,Cloudy,5.8
2026-01-02,08:00,2026-01-02 08:00:00,South,264,191,Rain,16.8
2026-01-02,08:00,2026-01-02 08:00:00,East,164,122,Clear,6.7
2026-01-02,08:00,2026-01-02 08:00:00,West,232,121,Rain,14.8
2026-01-02,09:00,2026-01-02 09:00:00,Central,298,219,Clear,11.8
2026-01-02,09:00,2026-01-02 09:00:00,North,182,155,Clear,6.5
2026-01-02,09:00,2026-01-02 09:00:00,South,207,179,Clear,7.6
2026-01-02,09:00,2026-01-02 09:00:00,East,149,130,Cloudy,5.8
2026-01-02,09:00,2026-01-02 09:00:00,West,243,179,Heavy Rain,18.6
2026-01-02,10:00,2026-01-02 10:00:00,Central,193,270,Clear,4.8
2026-01-02,10:00,2026-01-02 10:00:00,North,146,184,Clear,4.2
2026-01-02,10:00,2026-01-02 10:00:00,South,192,181,Cloudy,3.5
2026-01-02,10:00,2026-01-02 10:00:00,East,106,141,Cloudy,5.4
2026-01-02,10:00,2026-01-02 10:00:00,West,156,181,Rain,10.2
2026-01-02,11:00,2026-01-02 11:00:00,Central,184,273,Clear,6.9
2026-01-02,11:00,2026-01-02 11:00:00,North,136,175,Clear,5.1
2026-01-02,11:00,2026-01-02 11:00:00,South,166,199,Clear,6.1
2026-01-02,11:00,2026-01-02 11:00:00,East,121,134,Clear,5.4
2026-01-02,11:00,2026-01-02 11:00:00,West,140,161,Clear,5.9
2026-01-02,12:00,2026-01-02 12:00:00,Central,178,283,Clear,3.1
2026-01-02,12:00,2026-01-02 12:00:00,North,135,166,Clear,5.9
2026-01-02,12:00,2026-01-02 12:00:00,South,190,187,Cloudy,3.5
2026-01-02,12:00,2026-01-02 12:00:00,East,142,139,Heavy Rain,15.8
2026-01-02,12:00,2026-01-02 12:00:00,West,170,174,Rain,8.5
2026-01-02,13:00,2026-01-02 13:00:00,Central,228,266,Clear,2.4
2026-01-02,13:00,2026-01-02 13:00:00,North,141,179,Cloudy,4.1
2026-01-02,13:00,2026-01-02 13:00:00,South,169,216,Clear,3.5
2026-01-02,13:00,2026-01-02 13:00:00,East,132,154,Clear,4.3
2026-01-02,13:00,2026-01-02 13:00:00,West,143,178,Clear,6.5
2026-01-02,14:00,2026-01-02 14:00:00,Central,195,268,Cloudy,5.8
2026-01-02,14:00,2026-01-02 14:00:00,North,154,177,Clear,5.0
2026-01-02,14:00,2026-01-02 14:00:00,South,163,216,Clear,2.8
2026-01-02,14:00,2026-01-02 14:00:00,East,119,134,Clear,3.0
2026-01-02,14:00,2026-01-02 14:00:00,West,147,153,Cloudy,9.1
2026-01-02,15:00,2026-01-02 15:00:00,Central,231,252,Rain,10.1
2026-01-02,15:00,2026-01-02 15:00:00,North,151,166,Clear,5.0
2026-01-02,15:00,2026-01-02 15:00:00,South,163,227,Cloudy,4.9
2026-01-02,15:00,2026-01-02 15:00:00,East,116,141,Clear,8.0
2026-01-02,15:00,2026-01-02 15:00:00,West,136,183,Clear,4.2
2026-01-02,16:00,2026-01-02 16:00:00,Central,216,273,Rain,6.4
2026-01-02,16:00,2026-01-02 16:00:00,North,158,183,Clear,5.9
2026-01-02,16:00,2026-01-02 16:00:00,South,182,215,Clear,6.2
2026-01-02,16:00,2026-01-02 16:00:00,East,123,155,Cloudy,6.7
2026-01-02,16:00,2026-01-02 16:00:00,West,120,174,Clear,6.2
2026-01-02,17:00,2026-01-02 17:00:00,Central,327,210,Clear,13.0
2026-01-02,17:00,2026-01-02 17:00:00,North,285,156,Rain,15.4
2026-01-02,17:00,2026-01-02 17:00:00,South,324,183,Rain,16.1
2026-01-02,17:00,2026-01-02 17:00:00,East,164,139,Clear,6.0
2026-01-02,17:00,2026-01-02 17:00:00,West,218,166,Clear,8.2
2026-01-02,18:00,2026-01-02 18:00:00,Central,346,226,Clear,9.6
2026-01-02,18:00,2026-01-02 18:00:00,North,238,158,Clear,11.0
2026-01-02,18:00,2026-01-02 18:00:00,South,332,173,Rain,17.0
2026-01-02,18:00,2026-01-02 18:00:00,East,148,118,Cloudy,9.8
2026-01-02,18:00,2026-01-02 18:00:00,West,200,158,Clear,6.9
2026-01-02,19:00,2026-01-02 19:00:00,Central,302,211,Clear,8.9
2026-01-02,19:00,2026-01-02 19:00:00,North,192,142,Clear,6.1
2026-01-02,19:00,2026-01-02 19:00:00,South,361,193,Heavy Rain,23.9
2026-01-02,19:00,2026-01-02 19:00:00,East,276,116,Heavy Rain,25.6
2026-01-02,19:00,2026-01-02 19:00:00,West,243,141,Clear,9.8
2026-01-02,20:00,2026-01-02 20:00:00,Central,337,216,Clear,10.9
2026-01-02,20:00,2026-01-02 20:00:00,North,292,174,Heavy Rain,20.6
2026-01-02,20:00,2026-01-02 20:00:00,South,279,177,Cloudy,10.6
2026-01-02,20:00,2026-01-02 20:00:00,East,169,142,Clear,9.2
2026-01-02,20:00,2026-01-02 20:00:00,West,209,156,Clear,8.7
2026-01-02,21:00,2026-01-02 21:00:00,Central,131,260,Cloudy,4.8
2026-01-02,21:00,2026-01-02 21:00:00,North,89,173,Clear,3.7
2026-01-02,21:00,2026-01-02 21:00:00,South,95,207,Clear,5.3
2026-01-02,21:00,2026-01-02 21:00:00,East,47,135,Rain,10.8
2026-01-02,21:00,2026-01-02 21:00:00,West,81,183,Clear,7.8
2026-01-02,22:00,2026-01-02 22:00:00,Central,119,266,Clear,6.4
2026-01-02,22:00,2026-01-02 22:00:00,North,98,194,Rain,9.8
2026-01-02,22:00,2026-01-02 22:00:00,South,106,232,Cloudy,5.0
2026-01-02,22:00,2026-01-02 22:00:00,East,79,143,Rain,9.2
2026-01-02,22:00,2026-01-02 22:00:00,West,72,180,Clear,5.6
2026-01-02,23:00,2026-01-02 23:00:00,Central,121,264,Clear,5.1
2026-01-02,23:00,2026-01-02 23:00:00,North,91,168,Cloudy,8.2
2026-01-02,23:00,2026-01-02 23:00:00,South,97,216,Clear,7.4
2026-01-02,23:00,2026-01-02 23:00:00,East,94,128,Heavy Rain,15.3
2026-01-02,23:00,2026-01-02 23:00:00,West,81,187,Clear,3.5
2026-01-03,00:00,2026-01-03 00:00:00,Central,82,274,Clear,4.3
2026-01-03,00:00,2026-01-03 00:00:00,North,79,177,Rain,9.6
2026-01-03,00:00,2026-01-03 00:00:00,South,80,189,Cloudy,7.1
2026-01-03,00:00,2026-01-03 00:00:00,East,62,128,Clear,2.0
2026-01-03,00:00,2026-01-03 00:00:00,West,69,186,Clear,6.7
2026-01-03,01:00,2026-01-03 01:00:00,Central,107,270,Clear,4.9
2026-01-03,01:00,2026-01-03 01:00:00,North,58,204,Clear,6.3
2026-01-03,01:00,2026-01-03 01:00:00,South,77,198,Clear,7.2
2026-01-03,01:00,2026-01-03 01:00:00,East,65,145,Rain,9.4
2026-01-03,01:00,2026-01-03 01:00:00,West,72,181,Rain,9.7
2026-01-03,02:00,2026-01-03 02:00:00,Central,92,266,Cloudy,7.9
2026-01-03,02:00,2026-01-03 02:00:00,North,71,176,Clear,7.7
2026-01-03,02:00,2026-01-03 02:00:00,South,72,213,Clear,2.6
2026-01-03,02:00,2026-01-03 02:00:00,East,66,140,Rain,6.2
2026-01-03,02:00,2026-01-03 02:00:00,West,63,166,Clear,8.7
2026-01-03,03:00,2026-01-03 03:00:00,Central,92,271,Clear,5.6
2026-01-03,03:00,2026-01-03 03:00:00,North,78,177,Rain,8.6
2026-01-03,03:00,2026-01-03 03:00:00,South,99,213,Heavy Rain,13.3
2026-01-03,03:00,2026-01-03 03:00:00,East,59,167,Cloudy,4.7
2026-01-03,03:00,2026-01-03 03:00:00,West,64,162,Clear,4.6
2026-01-03,04:00,2026-01-03 04:00:00,Central,107,269,Cloudy,5.3
2026-01-03,04:00,2026-01-03 04:00:00,North,64,201,Clear,6.4
2026-01-03,04:00,2026-01-03 04:00:00,South,93,218,Clear,5.6
2026-01-03,04:00,2026-01-03 04:00:00,East,67,158,Rain,8.2
2026-01-03,04:00,2026-01-03 04:00:00,West,65,186,Clear,4.7
2026-01-03,05:00,2026-01-03 05:00:00,Central,110,283,Cloudy,6.3
2026-01-03,05:00,2026-01-03 05:00:00,North,59,178,Clear,5.9
2026-01-03,05:00,2026-01-03 05:00:00,South,87,234,Clear,5.7
2026-01-03,05:00,2026-01-03 05:00:00,East,44,152,Clear,4.2
2026-01-03,05:00,2026-01-03 05:00:00,West,66,171,Clear,2.5
2026-01-03,06:00,2026-01-03 06:00:00,Central,119,272,Rain,6.2
2026-01-03,06:00,2026-01-03 06:00:00,North,60,187,Clear,6.6
2026-01-03,06:00,2026-01-03 06:00:00,South,77,235,Clear,2.6
2026-01-03,06:00,2026-01-03 06:00:00,East,50,163,Cloudy,8.1
2026-01-03,06:00,2026-01-03 06:00:00,West,69,166,Cloudy,6.5
2026-01-03,07:00,2026-01-03 07:00:00,Central,228,230,Clear,4.4
2026-01-03,07:00,2026-01-03 07:00:00,North,135,160,Clear,3.3
2026-01-03,07:00,2026-01-03 07:00:00,South,195,166,Clear,8.3
2026-01-03,07:00,2026-01-03 07:00:00,East,130,120,Rain,6.4
2026-01-03,07:00,2026-01-03 07:00:00,West,182,130,Rain,11.2
2026-01-03,08:00,2026-01-03 08:00:00,Central,224,229,Cloudy,7.3
2026-01-03,08:00,2026-01-03 08:00:00,North,180,161,Clear,6.7
2026-01-03,08:00,2026-01-03 08:00:00,South,191,186,Cloudy,5.8
2026-01-03,08:00,2026-01-03 08:00:00,East,124,132,Clear,5.1
2026-01-03,08:00,2026-01-03 08:00:00,West,154,136,Clear,5.7
2026-01-03,09:00,2026-01-03 09:00:00,Central,242,234,Clear,6.0
2026-01-03,09:00,2026-01-03 09:00:00,North,136,192,Clear,3.7
2026-01-03,09:00,2026-01-03 09:00:00,South,196,195,Clear,3.5
2026-01-03,09:00,2026-01-03 09:00:00,East,132,116,Clear,7.5
2026-01-03,09:00,2026-01-03 09:00:00,West,153,159,Clear,5.7
2026-01-03,10:00,2026-01-03 10:00:00,Central,219,286,Heavy Rain,16.4
2026-01-03,10:00,2026-01-03 10:00:00,North,125,197,Cloudy,7.8
2026-01-03,10:00,2026-01-03 10:00:00,South,125,233,Clear,3.8
2026-01-03,10:00,2026-01-03 10:00:00,East,99,145,Cloudy,6.5
2026-01-03,10:00,2026-01-03 10:00:00,West,133,192,Rain,9.8
2026-01-03,11:00,2026-01-03 11:00:00,Central,174,276,Clear,3.2
2026-01-03,11:00,2026-01-03 11:00:00,North,144,192,Rain,10.9
2026-01-03,11:00,2026-01-03 11:00:00,South,135,211,Clear,5.0
2026-01-03,11:00,2026-01-03 11:00:00,East,83,126,Clear,3.7
2026-01-03,11:00,2026-01-03 11:00:00,West,126,167,Clear,3.0
2026-01-03,12:00,2026-01-03 12:00:00,Central,171,254,Clear,6.6
2026-01-03,12:00,2026-01-03 12:00:00,North,133,196,Clear,4.5
2026-01-03,12:00,2026-01-03 12:00:00,South,132,213,Clear,3.3
2026-01-03,12:00,2026-01-03 12:00:00,East,81,158,Clear,8.7
2026-01-03,12:00,2026-01-03 12:00:00,West,122,181,Cloudy,5.6
2026-01-03,13:00,2026-01-03 13:00:00,Central,200,253,Rain,8.6
2026-01-03,13:00,2026-01-03 13:00:00,North,110,172,Clear,6.5
2026-01-03,13:00,2026-01-03 13:00:00,South,131,224,Clear,2.6
2026-01-03,13:00,2026-01-03 13:00:00,East,92,126,Cloudy,5.8
2026-01-03,13:00,2026-01-03 13:00:00,West,114,176,Cloudy,4.0
2026-01-03,14:00,2026-01-03 14:00:00,Central,176,251,Cloudy,8.1
2026-01-03,14:00,2026-01-03 14:00:00,North,121,186,Cloudy,5.4
2026-01-03,14:00,2026-01-03 14:00:00,South,196,218,Heavy Rain,14.6
2026-01-03,14:00,2026-01-03 14:00:00,East,97,128,Clear,7.6
2026-01-03,14:00,2026-01-03 14:00:00,West,126,183,Rain,10.1
2026-01-03,15:00,2026-01-03 15:00:00,Central,159,258,Clear,6.9
2026-01-03,15:00,2026-01-03 15:00:00,North,124,175,Cloudy,9.3
2026-01-03,15:00,2026-01-03 15:00:00,South,124,221,Clear,5.6
2026-01-03,15:00,2026-01-03 15:00:00,East,103,165,Clear,2.7
2026-01-03,15:00,2026-01-03 15:00:00,West,115,173,Clear,8.9
2026-01-03,16:00,2026-01-03 16:00:00,Central,227,253,Heavy Rain,12.8
2026-01-03,16:00,2026-01-03 16:00:00,North,103,191,Cloudy,8.4
2026-01-03,16:00,2026-01-03 16:00:00,South,125,205,Clear,4.1
2026-01-03,16:00,2026-01-03 16:00:00,East,92,148,Clear,2.7
2026-01-03,16:00,2026-01-03 16:00:00,West,134,200,Rain,7.2
2026-01-03,17:00,2026-01-03 17:00:00,Central,246,243,Cloudy,6.8
2026-01-03,17:00,2026-01-03 17:00:00,North,188,149,Clear,5.7
2026-01-03,17:00,2026-01-03 17:00:00,South,227,180,Clear,6.2
2026-01-03,17:00,2026-01-03 17:00:00,East,168,109,Cloudy,8.4
2026-01-03,17:00,2026-01-03 17:00:00,West,157,163,Clear,5.2
2026-01-03,18:00,2026-01-03 18:00:00,Central,250,226,Clear,5.5
2026-01-03,18:00,2026-01-03 18:00:00,North,221,165,Rain,13.5
2026-01-03,18:00,2026-01-03 18:00:00,South,198,171,Clear,5.4
2026-01-03,18:00,2026-01-03 18:00:00,East,166,102,Rain,13.3
2026-01-03,18:00,2026-01-03 18:00:00,West,207,135,Clear,10.2
2026-01-03,19:00,2026-01-03 19:00:00,Central,266,224,Clear,7.2
2026-01-03,19:00,2026-01-03 19:00:00,North,195,164,Clear,5.9
2026-01-03,19:00,2026-01-03 19:00:00,South,212,188,Clear,5.0
2026-01-03,19:00,2026-01-03 19:00:00,East,148,126,Clear,5.9
2026-01-03,19:00,2026-01-03 19:00:00,West,207,148,Rain,13.5
2026-01-03,20:00,2026-01-03 20:00:00,Central,259,229,Cloudy,3.9
2026-01-03,20:00,2026-01-03 20:00:00,North,188,150,Clear,6.8
2026-01-03,20:00,2026-01-03 20:00:00,South,225,182,Clear,4.7
2026-01-03,20:00,2026-01-03 20:00:00,East,140,112,Clear,6.3
2026-01-03,20:00,2026-01-03 20:00:00,West,190,133,Cloudy,7.7
2026-01-03,21:00,2026-01-03 21:00:00,Central,100,259,Clear,7.2
2026-01-03,21:00,2026-01-03 21:00:00,North,63,179,Clear,4.4
2026-01-03,21:00,2026-01-03 21:00:00,South,73,209,Clear,5.3
2026-01-03,21:00,2026-01-03 21:00:00,East,41,156,Clear,5.7
2026-01-03,21:00,2026-01-03 21:00:00,West,82,158,Clear,4.7
2026-01-03,22:00,2026-01-03 22:00:00,Central,106,258,Clear,6.3
2026-01-03,22:00,2026-01-03 22:00:00,North,74,177,Clear,2.0
2026-01-03,22:00,2026-01-03 22:00:00,South,85,204,Clear,5.2
2026-01-03,22:00,2026-01-03 22:00:00,East,44,145,Clear,5.9
2026-01-03,22:00,2026-01-03 22:00:00,West,48,199,Clear,3.2
2026-01-03,23:00,2026-01-03 23:00:00,Central,96,260,Clear,7.6
2026-01-03,23:00,2026-01-03 23:00:00,North,61,157,Clear,5.4
2026-01-03,23:00,2026-01-03 23:00:00,South,104,205,Heavy Rain,16.6
